,mean_7405f,min_7405f,max_7405f,mean_7078,min_7078,max_7078,mean_5599,min_5599,max_5599,mean_5351,min_5351,max_5351,mean_7289,min_7289,max_7289
0,0.0,0.0,0.0,333.06345417867743,333.06345417867743,333.06345417867743,196.86993038524062,196.86993038524062,196.86993038524062,515.4363167667914,515.4363167667914,515.4363167667914,228.4691728480406,228.4691728480406,228.4691728480406
1,0.0,0.0,0.0,367.08797680800893,367.08797680800893,367.08797680800893,195.64267039868741,195.64267039868741,195.64267039868741,511.7539962783584,511.7539962783584,511.7539962783584,229.80148426660566,229.80148426660566,229.80148426660566
2,0.0,0.0,0.0,1170.4034983113424,1170.4034983113424,1170.4034983113424,195.26949078965342,195.26949078965342,195.26949078965342,512.0696787515675,512.0696787515675,512.0696787515675,254.56517472435638,254.56517472435638,254.56517472435638
3,0.0,0.0,0.0,1195.6737291561417,1195.6737291561417,1195.6737291561417,195.05860416872383,195.05860416872383,195.05860416872383,512.6720409793014,512.6720409793014,512.6720409793014,253.68069218830755,253.68069218830755,253.68069218830755
4,0.0,0.0,0.0,1192.6000312938645,1192.6000312938645,1192.6000312938645,194.86109984877336,194.86109984877336,194.86109984877336,513.2631995396719,513.2631995396719,513.2631995396719,250.4472410826611,250.4472410826611,250.4472410826611
5,0.0,0.0,0.0,1187.2770655938618,1187.2770655938618,1187.2770655938618,194.669862071675,194.669862071675,194.669862071675,513.8404614084914,513.8404614084914,513.8404614084914,250.3629800922202,250.3629800922202,250.3629800922202
6,0.0,0.0,0.0,1194.0539685015935,1194.0539685015935,1194.0539685015935,194.4867839281563,194.4867839281563,194.4867839281563,514.4100207613463,514.4100207613463,514.4100207613463,250.45500457434866,250.45500457434866,250.45500457434866
7,0.0,0.0,0.0,1176.377373586,1176.377373586,1176.377373586,194.1170222121882,194.1170222121882,194.1170222121882,515.8694074827513,515.8694074827513,515.8694074827513,250.6805249284606,250.6805249284606,250.6805249284606
8,0.0,0.0,0.0,1158.46449925277,1158.46449925277,1158.46449925277,193.74433549308233,193.74433549308233,193.74433549308233,517.3361244377068,517.3361244377068,517.3361244377068,249.8673424004625,249.8673424004625,249.8673424004625
9,0.0,0.0,0.0,1070.2620752163875,1070.2620752163875,1070.2620752163875,192.94749885402317,192.94749885402317,192.94749885402317,516.524726617215,516.524726617215,516.524726617215,249.08931795319322,249.08931795319322,249.08931795319322
10,0.0,0.0,0.0,388.0693587652072,388.0693587652072,388.0693587652072,191.29989530490974,191.29989530490974,191.29989530490974,508.86825659521503,508.86825659521503,508.86825659521503,235.49167275296372,235.49167275296372,235.49167275296372
11,0.0,0.0,0.0,969.439614462535,969.439614462535,969.439614462535,190.71345768836827,190.71345768836827,190.71345768836827,510.04110602874596,510.04110602874596,510.04110602874596,248.90065752145296,248.90065752145296,248.90065752145296
12,0.0,0.0,0.0,1234.9821375544593,1234.9821375544593,1234.9821375544593,190.25293861818497,190.25293861818497,190.25293861818497,511.14786971588484,511.14786971588484,511.14786971588484,247.96950334377175,247.96950334377175,247.96950334377175
13,0.0,0.0,0.0,881.9740180358492,881.9740180358492,881.9740180358492,189.54566115216267,189.54566115216267,189.54566115216267,511.74371044586053,511.74371044586053,511.74371044586053,241.0792534130644,241.0792534130644,241.0792534130644
14,0.0,0.0,0.0,1185.7542013147668,1185.7542013147668,1185.7542013147668,189.11585722390123,189.11585722390123,189.11585722390123,512.7773608244124,512.7773608244124,512.7773608244124,246.60608850841862,246.60608850841862,246.60608850841862
15,0.0,0.0,0.0,1190.4984501395122,1190.4984501395122,1190.4984501395122,188.68552012396853,188.68552012396853,188.68552012396853,513.7411940697758,513.7411940697758,513.7411940697758,246.32906557322008,246.32906557322008,246.32906557322008
16,0.0,0.0,0.0,1182.4609695069626,1182.4609695069626,1182.4609695069626,188.2806063181805,188.2806063181805,188.2806063181805,514.7245108508728,514.7245108508728,514.7245108508728,245.15193787060704,245.15193787060704,245.15193787060704
17,0.0,0.0,0.0,1177.3497005399233,1177.3497005399233,1177.3497005399233,187.85270718442155,187.85270718442155,187.85270718442155,515.6877870236359,515.6877870236359,515.6877870236359,244.55982758561566,244.55982758561566,244.55982758561566
